"","id","gene_short_name","anus","colon","log2ratio"
"1","ENSMUSG00000000031","H19",2.35,0.00299550673989016,-9.61564496188183
"2","ENSMUSG00000000058","Cav2",0.461363636363636,0.0244633050424363,-4.23721306535802
"3","ENSMUSG00000000078","Klf6",1.27045454545455,9.63704443334998,2.92324599759954
"4","ENSMUSG00000000125","Wnt3",0.610227272727273,0.0017473789316026,-8.44801034821586
"5","ENSMUSG00000000159","Igsf5",0.00340909090909091,0.210683974038942,5.94954969569798
"6","ENSMUSG00000000204","Slfn4",0.00568181818181818,0.123065401897154,4.4369287492025
"7","ENSMUSG00000000253","Gmpr",0.00568181818181818,0.360708936595107,5.98833869021263
"8","ENSMUSG00000000325","Arvcf",0.113636363636364,0.0269595606590115,-2.0755556798993
"9","ENSMUSG00000000385","Tmprss2",0.0602272727272727,1.60933599600599,4.73990482129769
"10","ENSMUSG00000000394","Gcg",0.00454545454545455,1.17898152770844,8.01890082786252
"11","ENSMUSG00000000402","Egfl6",0.576136363636364,0.000748876684972541,-9.58746642857023
"12","ENSMUSG00000000440","Pparg",0.0159090909090909,0.311782326510235,4.29261584726231
"13","ENSMUSG00000000489","Pdgfb",0.163636363636364,0.00374438342486271,-5.44962139812184
"14","ENSMUSG00000000544","Gpa33",0.0284090909090909,2.29006490264603,6.33289201001919
"15","ENSMUSG00000000552","Zfp385a",0.267045454545455,0.00499251123315027,-5.74117584396569
"16","ENSMUSG00000000567","Sox9",0.255681818181818,1.23839241138293,2.27604705838759
"17","ENSMUSG00000000739","Sult5a1",0.388636363636364,0.00673989016475287,-5.84955200501048
"18","ENSMUSG00000000805","Car4",0.0159090909090909,1.58062905641538,6.63450362579153
"19","ENSMUSG00000000861","Bcl11a",0.867045454545455,0.150024962556166,-2.53090505841139
"20","ENSMUSG00000000938","Hoxa10",0.0431818181818182,0.283075386919621,2.7126904192106
"21","ENSMUSG00000000958","Slc7a7",0.00454545454545455,0.170494258612082,5.22915477600204
"22","ENSMUSG00000001020","S100a4",0.557954545454545,0.0586620069895157,-3.24964926003774
"23","ENSMUSG00000001156","Mxd1",0.0772727272727273,2.2009485771343,4.8320223108341
"24","ENSMUSG00000001211","Agpat3",1.07386363636364,0.262606090863704,-2.03183852210418
"25","ENSMUSG00000001225","Slc26a3",0.0170454545454545,1.9071392910634,6.80587933502654
"26","ENSMUSG00000001288","Rarg",0.720454545454545,0.0269595606590115,-4.74003852026399
"27","ENSMUSG00000001403","Ube2c",0.0420454545454545,1.06590114827758,4.66397999659085
"28","ENSMUSG00000001435","Col18a1",0.147727272727273,0.00898652021967049,-4.03902980387419
"29","ENSMUSG00000001482","Def8",0.1875,0.0429355966050924,-2.12664445183177
"30","ENSMUSG00000001504","Irx2",0.327272727272727,0.00299550673989016,-6.7715494930092
"31","ENSMUSG00000001604","Tcea3",0.0181818181818182,0.333000499251123,4.19495595889654
"32","ENSMUSG00000001627","Ifrd1",0.6125,4.28282576135796,2.80578123588389
"33","ENSMUSG00000001657","Hoxc8",0.959090909090909,0.0017473789316026,-9.10033125893763
"34","ENSMUSG00000001661","Hoxc6",0.147727272727273,0.000499251123315027,-8.2089548053165
"35","ENSMUSG00000001663","Gstt1",0.0204545454545455,0.145282076884673,2.82836334917792
"36","ENSMUSG00000001672","Marveld3",0.119318181818182,0.604093859211183,2.33995882220779
"37","ENSMUSG00000001739","Cldn15",0.00113636363636364,0.134048926610085,6.88219128569737
"38","ENSMUSG00000001761","Smo",0.820454545454545,0.116075886170744,-2.82135511317983
"39","ENSMUSG00000001763","Tspan33",0.00454545454545455,0.352720918622067,6.27795875804589
"40","ENSMUSG00000001819","Hoxd13",0.0227272727272727,1.25037443834249,5.78179180908249
"41","ENSMUSG00000001911","Nfix",2.725,0.641288067898153,-2.08721176080146
"42","ENSMUSG00000001918","Slc1a5",0.122727272727273,0.515726410384423,2.07115004441354
"43","ENSMUSG00000002058","Unc119",0.0818181818181818,0.68572141787319,3.0671292013455
"44","ENSMUSG00000002059","Rab34",0.346590909090909,0.00599101347978033,-5.85428992401714
"45","ENSMUSG00000002108","Nr1h3",0.00909090909090909,0.0958562156764853,3.39837550843311
"46","ENSMUSG00000002233","Rhoc",0.0181818181818182,1.27309036445332,6.12969453945817
"47","ENSMUSG00000002257","Def6",0.295454545454545,0.0054917623564653,-5.74952318667921
"48","ENSMUSG00000002489","Tiam1",1.47727272727273,0.0823764353469795,-4.16456068595805
"49","ENSMUSG00000002602","Axl",0.369318181818182,0.00574138791812282,-6.00732094414685
"50","ENSMUSG00000002797","Ggct",0.956818181818182,0.100599101347978,-3.24962738682648
"51","ENSMUSG00000002799","Jag2",0.898863636363636,0.0202196704942586,-5.47427087387621
"52","ENSMUSG00000002885","Adgre5",0.0272727272727273,0.119570644033949,2.13233235272698
"53","ENSMUSG00000002980","Bcam",0.906818181818182,0.045681477783325,-4.31113209022635
"54","ENSMUSG00000002983","Relb",0.0920454545454545,0.413879181228158,2.16879129632308
"55","ENSMUSG00000002985","Apoe",18.1340909090909,0.294308537194209,-5.94523122023718
"56","ENSMUSG00000003051","Elf3",0.123863636363636,5.14328507239141,5.37586550765832
"57","ENSMUSG00000003271","Sult2b1",1.36590909090909,0.223664503245132,-2.61045325094163
"58","ENSMUSG00000003420","Fcgrt",0.0488636363636364,0.23489765351972,2.26519916573839
"59","ENSMUSG00000003452","Bicd1",0.0227272727272727,0.109335996005991,2.26627197242576
"60","ENSMUSG00000003531","Dgcr6",2.11136363636364,0.360708936595107,-2.54926800128266
"61","ENSMUSG00000003545","Fosb",0.896590909090909,5.48851722416375,2.61389466740806
"62","ENSMUSG00000003546","Klc4",0.05,0.410134797803295,3.03609815402473
"63","ENSMUSG00000003559","As3mt",0.0136363636363636,0.485022466300549,5.15252069257614
"64","ENSMUSG00000003585","Sec14l2",0.2375,0.00898652021967049,-4.72402112292662
"65","ENSMUSG00000003746","Man1a",0.0272727272727273,0.336744882675986,3.62612513993906
"66","ENSMUSG00000003948","Mmd",0.129545454545455,0.0127309036445332,-3.34705166448129
